GCC,Clang,DaCe,Polygeist + MLIR,DCIR
27.070804,27.071425,27.082456,30.636610,27.095278
27.070955,27.074842,27.077359,30.639804,27.089474
27.065877,27.069978,27.078040,30.637665,27.090194
27.064715,27.071476,27.077508,30.640541,27.086963
27.070708,27.071885,27.078583,30.640844,27.081649
27.066547,27.069421,27.078698,30.640809,27.082407
27.071670,27.071509,27.078467,30.639215,27.081766
27.069779,27.074098,27.077924,30.640208,27.082119
27.067494,27.073366,27.078265,30.639223,27.08243
27.066322,27.073578,27.077207,30.637378,27.081479
